ダウンロードした時刻：2025/06/02 13:59:14

,呉,呉,呉
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2024/6/1,19.5,8,1
2024/6/2,21.0,8,1
2024/6/3,19.8,8,1
2024/6/4,20.1,8,1
2024/6/5,20.8,8,1
2024/6/6,20.8,8,1
2024/6/7,22.3,8,1
2024/6/8,21.0,8,1
2024/6/9,19.8,8,1
2024/6/10,21.9,8,1
2024/6/11,22.9,8,1
2024/6/12,24.1,8,1
2024/6/13,24.9,8,1
2024/6/14,25.2,8,1
2024/6/15,24.6,8,1
2024/6/16,25.4,8,1
2024/6/17,22.7,8,1
2024/6/18,22.9,8,1
2024/6/19,24.1,8,1
2024/6/20,23.1,8,1
2024/6/21,22.6,8,1
2024/6/22,22.6,8,1
2024/6/23,24.6,8,1
2024/6/24,24.7,8,1
2024/6/25,24.6,8,1
2024/6/26,23.4,8,1
2024/6/27,21.7,8,1
2024/6/28,23.0,8,1
2024/6/29,24.4,8,1
2024/6/30,25.7,8,1
2024/7/1,24.4,8,1
2024/7/2,24.9,8,1
2024/7/3,27.4,8,1
2024/7/4,27.8,8,1
2024/7/5,28.8,8,1
2024/7/6,30.0,8,1
2024/7/7,29.9,8,1
2024/7/8,30.1,8,1
2024/7/9,29.6,8,1
2024/7/10,27.1,8,1
2024/7/11,24.9,8,1
2024/7/12,25.2,8,1
2024/7/13,25.6,8,1
2024/7/14,25.0,8,1
2024/7/15,24.7,8,1
2024/7/16,25.2,8,1
2024/7/17,27.5,8,1
2024/7/18,27.9,8,1
2024/7/19,29.2,8,1
2024/7/20,29.4,8,1
2024/7/21,30.3,8,1
2024/7/22,30.5,8,1
2024/7/23,29.8,8,1
2024/7/24,28.5,8,1
2024/7/25,29.2,8,1
2024/7/26,29.5,8,1
2024/7/27,30.3,8,1
2024/7/28,30.5,8,1
2024/7/29,30.4,8,1
2024/7/30,30.3,8,1
2024/7/31,30.2,8,1
2024/8/1,30.6,8,1
2024/8/2,31.2,8,1
2024/8/3,31.5,8,1
2024/8/4,31.3,8,1
2024/8/5,31.5,8,1
2024/8/6,31.0,8,1
2024/8/7,30.8,8,1
2024/8/8,31.0,8,1
2024/8/9,29.9,8,1
2024/8/10,30.1,8,1
2024/8/11,30.0,8,1
2024/8/12,30.0,8,1
2024/8/13,30.6,8,1
2024/8/14,30.6,8,1
2024/8/15,31.1,8,1
2024/8/16,31.0,8,1
2024/8/17,30.8,8,1
2024/8/18,30.4,8,1
2024/8/19,27.3,8,1
2024/8/20,28.4,8,1
2024/8/21,30.0,8,1
2024/8/22,30.4,8,1
2024/8/23,30.6,8,1
2024/8/24,30.5,8,1
2024/8/25,30.0,8,1
2024/8/26,29.9,8,1
2024/8/27,30.7,8,1
2024/8/28,28.5,8,1
2024/8/29,26.7,8,1
2024/8/30,27.1,8,1
2024/8/31,28.9,8,1
2024/9/1,27.8,8,1
2024/9/2,27.8,8,1
2024/9/3,28.0,8,1
2024/9/4,28.0,8,1
2024/9/5,27.7,8,1
2024/9/6,28.2,8,1
2024/9/7,28.4,8,1
2024/9/8,28.8,8,1
2024/9/9,29.6,8,1
2024/9/10,29.8,8,1
2024/9/11,30.1,8,1
2024/9/12,29.6,8,1
2024/9/13,29.4,8,1
2024/9/14,29.7,8,1
2024/9/15,30.2,8,1
2024/9/16,30.5,8,1
2024/9/17,30.2,8,1
2024/9/18,30.0,8,1
2024/9/19,30.3,8,1
2024/9/20,29.5,8,1
2024/9/21,28.6,8,1
2024/9/22,25.9,8,1
2024/9/23,25.0,8,1
2024/9/24,25.3,8,1
2024/9/25,26.0,8,1
2024/9/26,26.4,8,1
2024/9/27,27.1,8,1
2024/9/28,27.4,8,1
